id,company,year_salary,low_year_salary,high_year_salary
94,中地设计集团有限公司朝阳分公司,12-24,12,24
95,浙江云会科技有限公司,24-48,24,48
96,大理市云桥宽频信息科技有限责任公司,12-24,12,24
97,浙江众启网络科技有限公司,24-60,24,60
98,深圳市掌控移动软件有限公司,24-36,24,36
99,舟山市唯芸社信息科技有限公司,24-36,24,36
100,山东铝谷数据科技有限公司,24-36,24,36
101,广东康顺健康管理有限公司,24-60,24,60
102,淘鱼科技,12-36,12,36
103,四川瑞晨消防工程有限公司,12-60,12,60
104,南昌乐酷科技有限公司,24-36,24,36
105,西安平衡语言科技有限公司,12-24,12,24
106,山西润源项目管理咨询有限公司,12-24,12,24
107,江西优尚科技有限公司,24-84,24,84
108,广西国信云服科技有限公司,24-36,24,36
109,嘉兴想天信息科技有限公司,24-36,24,36
110,陕西中源纵横造价咨询有限公司,24-60,24,60
111,河北洲德信息技术有限公司,24-60,24,60
112,沈阳柏瑞思科技有限公司,36-96,36,96
113,深圳千知鱼文化设计有限公司,24-48,24,48
114,青岛铭尚电子信息工程有限公司,24-84,24,84
115,珠海市朝为软件科技有限公司,12-60,12,60
116,深圳三极丰科技有限公司,24-48,24,48
117,江西领域建筑设计有限公司,24-84,24,84
118,秦皇岛市易讯科技开发有限公司,24-84,24,84
119,苏州尚榜网络科技有限公司,26-52,26,52
120,惠州市云网客网络科技有限公司,24-84,24,84
121,石家庄沃龙软件服务有限公司,13-65,13,65
122,通化北创控股（集团）有限公司,24-60,24,60
123,先之（杭州）教育科技有限公司,24-36,24,36
124,深圳市速易连科技有限公司,12-36,12,36
125,浙江众启网络科技有限公司,24-60,24,60
126,陕西中源纵横造价咨询有限公司,24-60,24,60
127,秦皇岛市易讯科技开发有限公司,24-84,24,84
128,沈阳天悦网络科技有限公司,24-36,24,36
129,广东绿建联能源环境科技有限公司,24-48,24,48
130,吉林省十全十美文化发展有限公司,24-36,24,36
131,邢台易优网络科技有限公司,24-48,24,48
132,深圳市思承电子有限公司,12-36,12,36
133,马鞍山安益网络科技有限公司,12-36,12,36
134,上海积象网络科技有限公司宁强分公司,12-60,12,60
135,大连亿坊电子商务有限公司,12-60,12,60
136,西安快邦云科信息技术有限公司,12-24,12,24
137,自贡兴建建设项目管理有限公司,24-84,24,84
138,河南图萤网络科技有限公司,12-72,12,72
139,广西子森,12-48,12,48
140,绍兴小坡孩信息技术有限公司,12-24,12,24
141,沈阳众兴信息网络工程有限公司,24-36,24,36
142,山西长创科技有限公司,24-48,24,48
143,漳州堡垒信息技术有限公司,12-72,12,72
144,上海思鎏网络科技有限公司,12-36,12,36
145,成都虚世地理科技有限公司,24-48,24,48
146,四川准达信息技术股份有限公司,24-60,24,60
147,嘉兴市谷泰信息技术有限公司,24-84,24,84
148,广东东升信息技术有限公司,24-60,24,60
149,江苏炫动科技有限公司,24-60,24,60
150,重庆玲鲲科技有限公司,24-36,24,36
151,南昌优毅云科技有限公司,24-36,24,36
152,山西神剑建设监理有限公司,24-72,24,72
153,福州乐焰数据科技有限公司,24-60,24,60
154,长春信航科技有限公司,24-48,24,48
155,深圳千知鱼文化设计有限公司,24-48,24,48
156,上海阳橙信息科技有限公司,24-48,24,48
157,大连智趣信息技术有限公司,24-36,24,36
158,湖南白杨网络科技有限公司,24-36,24,36
159,石家庄悦凡广告传媒有限公司,24-36,24,36
160,北京智源视界科技有限公司,24-48,24,48
161,广州魔晶教育科技有限公司,12-36,12,36
162,江门市铂睿科技有限公司,24-60,24,60
163,保定云舟网络科技有限公司,12-24,12,24
164,福州万悉地网络科技有限公司,24-48,24,48
165,西安语博仕教育科技有限责任公司,24-84,24,84
166,上海信联信息发展股份有限公司,24-36,24,36
167,重庆万佳电子信息有限责任公司,24-48,24,48
168,深圳市听音科技有限公司,24-36,24,36
169,淘鱼科技,12-36,12,36
170,河北金地科技发展集团有限公司,12-24,12,24
171,成都启慧智能科技有限公司,26-39,26,39
172,山西世纪同兴科技股份有限公司,24-60,24,60
173,贵州老师傅到家科技有限公司,24-36,24,36
174,深圳市泰通新智信息技术有限公司,24-72,24,72
175,深圳市小蜜蜂软件有限公司,24-60,24,60
176,哈尔滨华途科技有限公司,24-36,24,36
177,丹东盘古网络技术有限公司,24-48,24,48
178,泉州丰泽长庚医院有限公司,12-72,12,72
179,四川省图南鸟网络科技有限公司,24-48,24,48
180,柳州箩筐信息科技有限公司,24-72,24,72
181,深圳市培林体育科技有限公司,24-36,24,36
182,易模塑科技（深圳）有限公司,24-36,24,36
183,杭州酷趣文化创意有限公司,24-72,24,72
184,重庆特优学科技有限公司,24-48,24,48
185,深圳市布尔达科技有限公司,24-48,24,48
186,赤峰智展信息技术有限公司,24-36,24,36
187,长沙爱和自由文化传播有限公司,24-48,24,48
188,哈尔滨顺茂科技开发有限公司,24-84,24,84
189,东营阅客信息科技有限公司,12-24,12,24
190,成都创兑行信息技术有限公司,24-72,24,72
191,沈阳奥达易通科技有限公司,24-36,24,36
192,蜂享科技（海南）有限公司,12-24,12,24
193,融途信息,12-24,12,24
194,河北七分科技有限公司,12-72,12,72
195,火眼科技（天津）有限公司,24-48,24,48
196,遵化市金标科技有限公司,12-24,12,24
197,厦门闽亿金服科技有限公司,24-48,24,48
198,汕头市讯博信息科技有限公司,24-36,24,36
199,福州市从古网络科技有限公司,24-48,24,48
200,南京聚众体育科技发展有限公司,24-36,24,36
201,河南塘报文化传播有限公司,24-60,24,60
202,广州非格科技有限公司,24-48,24,48
203,辽宁茅汇联和,12-24,12,24
204,大连摩呵科技有限公司,24-48,24,48
205,中伦建筑工程设计有限公司川北设计院,24-36,24,36
206,东莞豪马工业设计有限公司,24-36,24,36
207,哈尔滨亚典科技有限责任公司,24-48,24,48
208,河北云猫众创空间有限公司,12-24,12,24
209,内蒙古中采信息技术服务有限公司,24-72,24,72
210,云南软友科技有限公司,24-48,24,48
211,江苏鲁班网络科技有限公司,24-36,24,36
212,河北懋谷网络科技有限公司,24-60,24,60
213,上海创知信网络科技有限公司,13-39,13,39
214,江苏古河文化科技有限公司,24-36,24,36
215,山西灿森网络科技有限公司,24-60,24,60
216,山西弘承云志科技有限公司,24-72,24,72
217,大连宏腾科技有限公司,26-52,26,52
218,河北洲德信息技术有限公司,24-60,24,60
219,乌鲁木齐佑安信达企业管理咨询有限公司,24-72,24,72
220,长沙金泥自动化科技有限公司,24-72,24,72
221,内蒙古安洛凯工程技术咨询有限公司,24-84,24,84
222,邢台市龙泽信息系统集成服务有限公司,24-36,24,36
223,成都安第斯信息技术有限公司,24-60,24,60
224,北京维联众诚科技有限公司,24-60,24,60
225,森成稀土磁材有限公司,24-48,24,48
226,福州市博思特教育咨询有限公司,12-24,12,24
227,中地设计集团有限公司朝阳分公司,12-24,12,24
228,上海荷瑞会展有限公司,24-36,24,36
229,江苏庙湾人家网络科技有限公司,24-84,24,84
230,成都时代众享科技有限公司,24-48,24,48
231,北京瑞尔博达市场营销顾问有限公司,24-48,24,48
232,河南省盈鑫环保科技有限公司,24-36,24,36
233,无锡江东信息技术有限公司,24-36,24,36
234,河北金安鸿环检测技术咨询有限公司,24-60,24,60
235,肇庆云虫科技有限公司,24-60,24,60
236,湖北华胜建设项目管理有限公司,24-36,24,36
237,海城市东升钢构彩板有限公司,24-72,24,72
238,上海酷柒网络技术有限公司,24-36,24,36
239,北京强邦体育发展有限公司,12-48,12,48
240,福州市从古网络科技有限公司,24-48,24,48
241,广西英斯派尔云计算有限公司,24-36,24,36
242,哈尔滨华途科技有限公司,24-36,24,36
243,河北奇云科技有限公司,24-36,24,36
244,上海隽乐信息科技有限公司,24-48,24,48
245,河北省道兰科技有限公司,24-72,24,72
246,成都时代众享科技有限公司,24-48,24,48
247,咸阳中远电子有限公司,24-60,24,60
248,化州市缘康科技有限公司,24-48,24,48
249,河南图萤网络科技有限公司,12-72,12,72
250,内蒙古中采信息技术服务有限公司,24-72,24,72
251,雨林创新创意科技（深圳）集团有限公司,24-84,24,84
252,中铁水利信息科技有限公司,12-24,12,24
253,长沙爱和自由文化传播有限公司,24-48,24,48
254,江苏古河文化科技有限公司,24-36,24,36
255,沈阳华逸云智科技有限公司,26-91,26,91
256,乌鲁木齐佑安信达企业管理咨询有限公司,24-72,24,72
257,柒柒网络科技（辽宁）有限公司鞍山分公司,24-72,24,72
258,沈阳盈好机械有限公司,24-48,24,48
259,广州万云电子商务有限公司,12-72,12,72
260,柳州菲通智能科技有限公司,24-60,24,60
261,南宁玄鸟网络科技有限公司,24-36,24,36
262,大连威姆瑞科技有限公司,24-84,24,84
263,海南好思达网络科技有限公司,24-36,24,36
264,河北富创电子科技有限公司,12-48,12,48
265,河北省北斗导航位置服务有限公司,24-36,24,36
266,浙江思则数字科技有限公司,24-36,24,36
267,晋江市三平面体育发展有限公司,12-24,12,24
268,联宇合达科技有限公司,24-48,24,48
269,安徽南黎建设工程有限公司,12-24,12,24
270,四川准达信息技术股份有限公司,24-60,24,60
271,贵州黔狐科技股份有限公司,12-24,12,24
272,陕西中源纵横造价咨询有限公司,24-60,24,60
273,南宁市雅径电子产品经营部,24-48,24,48
274,福州乐焰数据科技有限公司,24-60,24,60
275,广州八斗软件科技有限公司,24-48,24,48
276,上海信栖网络科技有限公司,26-52,26,52
277,广州豆苗信息科技有限公司,24-48,24,48
278,长春弘毅通信科技有限公司,24-36,24,36
279,安庆市宾利知识产权运营管理有限公司,24-36,24,36
280,绥中求索软件科技有限公司,12-60,12,60
281,武汉赢月网络科技有限公司,24-36,24,36
282,上海奇杲科技有限公司,12-72,12,72
283,广西依客科技有限公司,24-48,24,48
284,南阳市微企胜网络科技有限公司,24-72,24,72
285,宿州仕良信息科技有限公司,24-60,24,60
286,广州漫薪网络科技有限公司,24-60,24,60
287,西安拾久网络科技有限公司,24-48,24,48
288,湖北襄软科技有限公司,24-48,24,48
289,北京智源视界科技有限公司,24-48,24,48
290,遵义云讯网络科技有限责任公司,24-36,24,36
291,张家口钰辉起航科技有限公司,24-60,24,60
292,辽宁瑞丰自动控制有限公司,24-84,24,84
293,中软信通（宜昌）科技有限公司,12-24,12,24
294,中地设计集团有限公司朝阳分公司,12-24,12,24
295,天佑博文信息科技（山东）有限公司,24-60,24,60
296,南京苏艾科软件技术有限公司,24-48,24,48
297,吉林省云领科技有限公司,24-72,24,72
298,北京睿智皓天微电子科技有限公司,24-84,24,84
299,肇庆云虫科技有限公司,24-60,24,60
300,龙岩市新罗区创和智联贸易有限公司,24-36,24,36
301,广西国信云服科技有限公司,24-36,24,36
302,广元匠艺软件开发有限公司,24-36,24,36
303,深圳千知鱼文化设计有限公司,24-48,24,48
304,武汉世纪先锋网络技术有限公司,24-36,24,36
305,运城市锐创电子科技有限公司,24-60,24,60
306,深圳市培林体育科技有限公司,24-36,24,36
307,天津联筑建筑科技有限公司,24-72,24,72
308,广东方昇科技有限公司,26-39,26,39
309,南昌象牙网络科技有限公司,12-24,12,24
310,潮州市鲁迪信息科技有限公司,24-60,24,60
311,浙江衢州鹿鸣信息技术有限公司,24-48,24,48
312,北京强邦体育发展有限公司,12-48,12,48
313,重庆领达信息技术有限公司,24-60,24,60
314,浙江众启网络科技有限公司,24-60,24,60
315,成都华企网通科技有限公司,24-48,24,48
316,深圳市思承电子有限公司,12-36,12,36
317,嘉兴想天信息科技有限公司,24-36,24,36
318,浙江星河微网能源科技有限公司,24-60,24,60
319,四川瑞晨消防工程有限公司,12-60,12,60
320,湖北致慧信息技术有限公司,24-48,24,48
321,东营市传智信息技术有限公司,24-36,24,36
322,苏州尚榜网络科技有限公司,26-52,26,52
323,柳州市光迅科技有限责任公司,24-60,24,60
324,山东铝谷数据科技有限公司,24-36,24,36
325,福州一城信息科技有限公司,24-48,24,48
326,大理市云桥宽频信息科技有限责任公司,12-24,12,24
327,巴尔瑙尔科技,24-36,24,36
328,秦皇岛市易讯科技开发有限公司,24-84,24,84
329,杭州陆港科技有限公司,26-39,26,39
330,吉林省集星科技有限公司,24-48,24,48
331,长春市飞秋科技有限公司,24-36,24,36
332,上海逐一软件科技有限公司,24-36,24,36
333,福州知止网络技术有限公司,24-60,24,60
334,娄底市国联信息服务有限公司,24-48,24,48
335,舟山市唯芸社信息科技有限公司,24-36,24,36
336,河南省盈鑫环保科技有限公司,24-36,24,36
337,微趣软件（无锡）有限公司,24-48,24,48
338,上海虎联信息科技有限公司,24-48,24,48
339,江西莫比乌斯科技有限公司,24-48,24,48
340,广州非格科技有限公司,24-48,24,48
341,广东康顺健康管理有限公司,24-60,24,60
342,重庆夸米网络科技有限公司,24-36,24,36
343,佛山市亿货郎电子商务有限公司,24-48,24,48
344,纳思达科技（大连）有限公司,12-24,12,24
345,海南金轩企业管理有限公司,24-36,24,36
346,山西润源项目管理咨询有限公司,12-24,12,24
347,哈尔滨华途科技有限公司,24-36,24,36
348,河北富创电子科技有限公司,12-48,12,48
349,大连威姆瑞科技有限公司,24-84,24,84
350,深圳三极丰科技有限公司,24-48,24,48
351,江西优尚科技有限公司,24-84,24,84
352,浙江云会科技有限公司,24-48,24,48
353,青岛康裕达科技有限公司,24-60,24,60
354,通化北创控股（集团）有限公司,24-60,24,60
355,南昌乐酷科技有限公司,24-36,24,36
356,沈阳天悦网络科技有限公司,24-36,24,36
357,珠海市朝为软件科技有限公司,12-60,12,60
358,淘鱼科技,12-36,12,36
359,深圳市小蜜蜂软件有限公司,24-60,24,60
360,西安平衡语言科技有限公司,12-24,12,24
361,上海创知信网络科技有限公司,13-39,13,39
362,绍兴小坡孩信息技术有限公司,12-24,12,24
363,河北奇云科技有限公司,24-36,24,36
364,哈尔滨亚典科技有限责任公司,24-48,24,48
365,泉州丰泽长庚医院有限公司,12-72,12,72
366,上海阳橙信息科技有限公司,24-48,24,48
367,内蒙古友臻信息技术有限公司,12-48,12,48
368,中伦建筑工程设计有限公司川北设计院,24-36,24,36
369,成都安第斯信息技术有限公司,24-60,24,60
370,四川省图南鸟网络科技有限公司,24-48,24,48
371,东莞豪马工业设计有限公司,24-36,24,36
372,南京聚众体育科技发展有限公司,24-36,24,36
373,邢台市龙泽信息系统集成服务有限公司,24-36,24,36
374,江门市铂睿科技有限公司,24-60,24,60
375,大连亿坊电子商务有限公司,12-60,12,60
376,浙江思则数字科技有限公司,24-36,24,36
377,北京尔希科技有限公司,24-84,24,84
378,易视线（厦门）科技有限公司,24-36,24,36
379,厦门闽亿金服科技有限公司,24-48,24,48
380,湖南超视物联智能网络科技有限公司,24-48,24,48
381,长沙金泥自动化科技有限公司,24-72,24,72
382,吉林省十全十美文化发展有限公司,24-36,24,36
383,北京瑞尔博达市场营销顾问有限公司,24-48,24,48
384,柒柒网络科技（辽宁）有限公司鞍山分公司,24-72,24,72
385,石家庄沃龙软件服务有限公司,13-65,13,65
386,嘉兴市谷泰信息技术有限公司,24-84,24,84
387,重庆特优学科技有限公司,24-48,24,48
388,南昌优毅云科技有限公司,24-36,24,36
389,广州市一千零一科技有限公司,24-36,24,36
390,邢台易优网络科技有限公司,24-48,24,48
391,江苏炫动科技有限公司,24-60,24,60
392,云南软友科技有限公司,24-48,24,48
393,马鞍山安益网络科技有限公司,12-36,12,36
394,河南塘报文化传播有限公司,24-60,24,60
395,成都致远方达科技有限公司,24-48,24,48
396,中山市电牛科技有限公司,24-60,24,60
397,辽宁茅汇联和,12-24,12,24
398,重庆万佳电子信息有限责任公司,24-48,24,48
399,上海思鎏网络科技有限公司,12-36,12,36
400,丹东盘古网络技术有限公司,24-48,24,48
401,北京洋流科技有限公司,24-72,24,72
402,深圳市泰通新智信息技术有限公司,24-72,24,72
403,福州网冠信息科技有限公司,24-36,24,36
404,深圳市速易连科技有限公司,12-36,12,36
405,山西弘承云志科技有限公司,24-72,24,72
406,河南图萤网络科技有限公司,12-72,12,72
407,思渡技术服务（昆明）有限公司,26-91,26,91
408,海南蓝点计算机网络工程有限公司,24-36,24,36
409,大连摩呵科技有限公司,24-48,24,48
410,保定云舟网络科技有限公司,12-24,12,24
411,山东方正自动化科技有限公司,24-84,24,84
412,漳州堡垒信息技术有限公司,12-72,12,72
413,大连智趣信息技术有限公司,24-36,24,36
414,河北省道兰科技有限公司,24-72,24,72
415,贵州老师傅到家科技有限公司,24-36,24,36
416,福州市博思特教育咨询有限公司,12-24,12,24
417,深圳市听音科技有限公司,24-36,24,36
418,河北懋谷网络科技有限公司,24-60,24,60
419,内蒙古巴辰网络科技有限公司,12-24,12,24
420,重庆玲鲲科技有限公司,24-36,24,36
421,江苏古河文化科技有限公司,24-36,24,36
422,河北金安鸿环检测技术咨询有限公司,24-60,24,60
423,哈尔滨顺茂科技开发有限公司,24-84,24,84
424,上海隽乐信息科技有限公司,24-48,24,48
425,河北洲德信息技术有限公司,24-60,24,60
426,江西摩速科技有限公司,24-84,24,84
427,柳州箩筐信息科技有限公司,24-72,24,72
428,武汉同趣科技有限公司,24-48,24,48
429,哈尔滨浪博科技有限公司,12-72,12,72
430,福州市从古网络科技有限公司,24-48,24,48
431,西安语博仕教育科技有限责任公司,24-84,24,84
432,大连网龙网络科技有限公司,24-48,24,48
433,阜阳市工蚁网络科技有限公司,24-60,24,60
434,遵化市金标科技有限公司,12-24,12,24
435,赤峰智展信息技术有限公司,24-36,24,36
436,石家庄悦凡广告传媒有限公司,24-36,24,36
437,成都启慧智能科技有限公司,26-39,26,39
438,杭州酷趣文化创意有限公司,24-72,24,72
439,成都时代众享科技有限公司,24-48,24,48
440,化州市缘康科技有限公司,24-48,24,48
441,汕头市讯博信息科技有限公司,24-36,24,36
442,大连松鼠科技有限公司,24-48,24,48
443,嘉兴市缙祥软件科技有限责任公司,12-36,12,36
444,易模塑科技（深圳）有限公司,24-36,24,36
445,深圳市布尔达科技有限公司,24-48,24,48
446,南宁玄鸟网络科技有限公司,24-36,24,36
447,河北七分科技有限公司,12-72,12,72
448,咸阳中远电子有限公司,24-60,24,60
449,融途信息,12-24,12,24
450,四平市新元信息技术有限公司,24-84,24,84
451,蜂享科技（海南）有限公司,12-24,12,24
452,深圳市跃龙腾科技有限公司,24-48,24,48
453,成都创兑行信息技术有限公司,24-72,24,72
454,东营阅客信息科技有限公司,12-24,12,24
455,青山湖区浪潮汽车用品批发中心,12-24,12,24
456,广州网和网络技术有限公司,24-36,24,36
457,广州万云电子商务有限公司,12-72,12,72
458,湖北瀚海智汇科技有限公司,24-84,24,84
459,森成稀土磁材有限公司,24-48,24,48
460,内蒙古中采信息技术服务有限公司,24-72,24,72
461,北京认知云科技有限公司,24-48,24,48
462,江苏鲁班网络科技有限公司,24-36,24,36
463,北京微语时代科技有限公司,24-60,24,60
464,中铁水利信息科技有限公司,12-24,12,24
465,雨林创新创意科技（深圳）集团有限公司,24-84,24,84
466,无锡江东信息技术有限公司,24-36,24,36
467,北京九州瀚诺企业管理有限公司,12-36,12,36
468,江苏庙湾人家网络科技有限公司,24-84,24,84
469,山西长创科技有限公司,24-48,24,48
470,河北省北斗导航位置服务有限公司,24-36,24,36
471,华伦中建建设股份有限公司淮北分公司,12-48,12,48
472,山西云之巽文化发展有限公司,24-36,24,36
473,四川准达信息技术股份有限公司,24-36,24,36
474,上海酷柒网络技术有限公司,24-36,24,36
475,晋江市三平面体育发展有限公司,12-24,12,24
476,江西优联荟智能科技有限公司,24-36,24,36
477,重庆恒承瑶工程造价咨询有限公司,24-36,24,36
478,河南昂寇网络科技有限公司,24-60,24,60
479,临汾市丽乾科技有限公司,24-48,24,48
480,广西收米吧数据处理服务有限公司,24-48,24,48
481,安徽南黎建设工程有限公司,12-24,12,24
482,广州市建银工程造价咨询有限公司东莞分公司,24-36,24,36
483,广西太极华青信息系统有限公司,24-36,24,36
484,重庆乾兴信息技术有限公司,24-36,24,36
485,乐山市骏马奔腾广告有限公司,24-60,24,60
486,北京珅企科技有限公司,24-36,24,36
487,长春富天龙自动化科技有限公司,24-60,24,60
488,宁夏天选云电子服务有限公司,24-48,24,48
489,四川中成招通工程项目管理有限公司,24-60,24,60
490,广州市亿易联电子科技有限公司,24-84,24,84
491,海口联合佳用科技有限公司,24-48,24,48
492,沈阳百兰思科技有限公司,24-48,24,48
493,河北博控电气科技有限公司,24-84,24,84
494,珠海庆鸿药业有限公司,12-24,12,24
495,佛山图新科技有限公司,24-60,24,60
496,北京近颐科技有限公司,24-48,24,48
497,长春鼎龙汽车科技有限公司,24-36,24,36
498,山西诺翔科技信息有限公司,24-84,24,84
499,中地设计集团有限公司朝阳分公司,12-24,12,24
500,华红工程集团股份有限公司,24-36,24,36
501,四川创想新程科技有限公司,26-52,26,52
502,兰州中林智能科技有限公司,24-36,24,36
503,上海鼎宸源信息科技有限公司,12-60,12,60
504,辽宁省中安信科技合伙企业（有限合伙）,24-48,24,48
505,陕西华妈科技有限公司,24-60,24,60
506,广州市三地信息技术有限公司,24-36,24,36
507,江大国际生物科技（广州）有限公司,24-48,24,48
508,广西中米农业有限公司,24-36,24,36
509,洛阳灵睿网络技术有限公司,48-96,48,96
510,九江磻石科技有限公司,48-96,48,96
511,河北政软科技有限公司,48-96,48,96
512,河南来村农业科技有限公司,48-60,48,60
513,河北蝉智软件科技有限责任公司,48-84,48,84
514,神州数码信息服务股份有限公司,48-96,48,96
515,莆田汉鼎网络科技有限公司,36-96,36,96
516,浙江理工大学龙港研究院有限公司,48-96,48,96
517,西安研奇网络科技有限公司,52-91,52,91
518,江西至融软件有限公司,36-96,36,96
519,湖南德品网络科技有限公司,48-96,48,96
520,河南塘报文化传播有限公司,24-60,24,60
521,杭州酷趣文化创意有限公司,24-72,24,72
522,深圳易宝软件有限公司,48-60,48,60
523,晋城市鼎峰网络科技有限公司,36-60,36,60
524,灵图互动（武汉）科技有限公司,48-84,48,84
525,洛阳城市网软件技术有限公司,48-108,48,108
526,大连泰微科技有限公司,48-96,48,96
527,浙江立地信息科技有限公司,48-96,48,96
528,青岛中青电子科技有限公司济南分公司,36-60,36,60
529,柳州箩筐信息科技有限公司,24-72,24,72
530,西安语博仕教育科技有限责任公司,24-84,24,84
531,龙岩市点墨网络科技有限公司,48-108,48,108
532,湖南金锐科技有限公司,48-108,48,108
533,重庆合加庆通讯服务有限责任公司,24-60,24,60
534,漳州堡垒信息技术有限公司,12-72,12,72
535,福州市从古网络科技有限公司,24-48,24,48
536,湖南阿秒光学科技有限公司,36-60,36,60
537,广西荣萃营销策划有限公司,48-72,48,72
538,山西郎腾信息科技有限公司,36-60,36,60
539,洛阳智网网络科技有限公司,48-72,48,72
540,浙江山久网络科技有限公司,48-72,48,72
541,耿城梦想,36-96,36,96
542,北京认知云科技有限公司,24-48,24,48
543,数字佳信,48-84,48,84
544,广东高商科技有限公司,48-108,48,108
545,内蒙古智慧兴牧物联技术有限公司,36-96,36,96
546,湖北汉成网络科技有限公司,48-96,48,96
547,浙江熠成科技有限公司,48-72,48,72
548,广元广锋科技有限公司,36-60,36,60
549,山东方正自动化科技有限公司,48-84,48,84
550,广西星峻科技集团有限公司,48-72,48,72
551,河北神威大药房连锁有限公司,48-72,48,72
552,四川飞思盾科技有限责任公司,39-104,39,104
553,安徽相王网络信息技术有限公司,36-60,36,60
