id,company,province,city,county
127,秦皇岛市易讯科技开发有限公司,河北省,秦皇岛市,海港区
128,沈阳天悦网络科技有限公司,辽宁省,沈阳市,沈河区
129,广东绿建联能源环境科技有限公司,广东省,惠州市,惠城区
130,吉林省十全十美文化发展有限公司,吉林省,长春市,二道区
131,邢台易优网络科技有限公司,河北省,邢台市,平乡县
132,深圳市思承电子有限公司,广东省,潮州市,潮安区
133,马鞍山安益网络科技有限公司,安徽省,马鞍山市,花山区
134,上海积象网络科技有限公司宁强分公司,陕西省,汉中市,宁强县
135,大连亿坊电子商务有限公司,辽宁省,大连市,金州区
136,西安快邦云科信息技术有限公司,陕西省,西安市,雁塔区
137,自贡兴建建设项目管理有限公司,四川省,自贡市,自流井区
138,河南图萤网络科技有限公司,河南省,南阳市,宛城区
139,广西子森,广西壮族自治区,河池市,巴马瑶族自治县
140,绍兴小坡孩信息技术有限公司,浙江省,绍兴市,越城区
141,沈阳众兴信息网络工程有限公司,吉林省,辽源市,龙山区
142,山西长创科技有限公司,山西省,太原市,小店区
143,漳州堡垒信息技术有限公司,福建省,漳州市,漳浦县
144,上海思鎏网络科技有限公司,四川省,成都市,锦江区
145,成都虚世地理科技有限公司,四川省,成都市,锦江区
146,四川准达信息技术股份有限公司,陕西省,咸阳市,渭城区
147,嘉兴市谷泰信息技术有限公司,浙江省,嘉兴市,南湖区
148,广东东升信息技术有限公司,广东省,汕头市,龙湖区
149,江苏炫动科技有限公司,江苏省,盐城市,盐都区
150,重庆玲鲲科技有限公司,重庆市,重庆市,沙坪坝区
151,南昌优毅云科技有限公司,江西省,南昌市,南昌县
152,山西神剑建设监理有限公司,山西省,太原市,小店区
153,福州乐焰数据科技有限公司,福建省,福州市,闽侯县
154,长春信航科技有限公司,吉林省,长春市,南关区
155,深圳千知鱼文化设计有限公司,广东省,深圳市,龙岗区
156,上海阳橙信息科技有限公司,上海市,上海市,宝山区
157,大连智趣信息技术有限公司,辽宁省,大连市,中山区
158,湖南白杨网络科技有限公司,湖南省,衡阳市,蒸湘区
159,石家庄悦凡广告传媒有限公司,河北省,石家庄市,新乐市
160,北京智源视界科技有限公司,北京市,北京市,海淀区
161,广州魔晶教育科技有限公司,广东省,广州市,番禺区
162,江门市铂睿科技有限公司,广东省,江门市,蓬江区
163,保定云舟网络科技有限公司,河北省,保定市,莲池区
164,福州万悉地网络科技有限公司,福建省,福州市,闽侯县
165,西安语博仕教育科技有限责任公司,陕西省,西安市,碑林区
166,上海信联信息发展股份有限公司,山东省,济宁市,任城区
167,重庆万佳电子信息有限责任公司,重庆市,重庆市,渝中区
168,深圳市听音科技有限公司,广东省,深圳市,龙岗区
169,淘鱼科技,浙江省,杭州市,滨江区
170,河北金地科技发展集团有限公司,河北省,邯郸市,邯山区
171,成都启慧智能科技有限公司,四川省,成都市,双流区
172,山西世纪同兴科技股份有限公司,山西省,太原市,小店区
173,贵州老师傅到家科技有限公司,贵州省,贵阳市,观山湖区
174,深圳市泰通新智信息技术有限公司,广东省,深圳市,宝安区
175,深圳市小蜜蜂软件有限公司,广东省,深圳市,龙岗区
176,哈尔滨华途科技有限公司,黑龙江省,哈尔滨市,香坊区
177,丹东盘古网络技术有限公司,辽宁省,丹东市,振兴区
178,泉州丰泽长庚医院有限公司,福建省,泉州市,丰泽区
179,四川省图南鸟网络科技有限公司,四川省,绵阳市,游仙区
180,柳州箩筐信息科技有限公司,广西壮族自治区,柳州市,城中区
181,深圳市培林体育科技有限公司,广东省,揭阳市,揭西县
182,易模塑科技（深圳）有限公司,江西省,赣州市,定南县
183,杭州酷趣文化创意有限公司,浙江省,杭州市,滨江区
184,重庆特优学科技有限公司,四川省,成都市,武侯区
185,深圳市布尔达科技有限公司,广东省,深圳市,龙岗区
186,赤峰智展信息技术有限公司,内蒙古自治区,赤峰市,红山区
187,长沙爱和自由文化传播有限公司,湖南省,长沙市,长沙县
188,哈尔滨顺茂科技开发有限公司,黑龙江省,哈尔滨市,南岗区
189,东营阅客信息科技有限公司,山东省,东营市,东营区
190,成都创兑行信息技术有限公司,四川省,成都市,龙泉驿区
191,沈阳奥达易通科技有限公司,辽宁省,沈阳市,和平区
192,蜂享科技（海南）有限公司,浙江省,杭州市,余杭区
193,融途信息,辽宁省,大连市,甘井子区
194,河北七分科技有限公司,河北省,石家庄市,裕华区
195,火眼科技（天津）有限公司,河北省,衡水市,桃城区
196,遵化市金标科技有限公司,河北省,唐山市,遵化市
197,厦门闽亿金服科技有限公司,云南省,昆明市,嵩明县
198,汕头市讯博信息科技有限公司,广东省,汕头市,龙湖区
199,福州市从古网络科技有限公司,福建省,福州市,闽侯县
200,南京聚众体育科技发展有限公司,江苏省,南京市,栖霞区
201,河南塘报文化传播有限公司,河南省,郑州市,新郑市
202,广州非格科技有限公司,广东省,广州市,黄埔区
203,辽宁茅汇联和,辽宁省,沈阳市,沈北新区
204,大连摩呵科技有限公司,辽宁省,大连市,甘井子区
205,中伦建筑工程设计有限公司川北设计院,四川省,南充市,顺庆区
206,东莞豪马工业设计有限公司,广东省,东莞市,
207,哈尔滨亚典科技有限责任公司,黑龙江省,哈尔滨市,松北区
208,河北云猫众创空间有限公司,河北省,石家庄市,长安区
209,内蒙古中采信息技术服务有限公司,内蒙古自治区,呼和浩特市,赛罕区
210,云南软友科技有限公司,云南省,曲靖市,麒麟区
211,江苏鲁班网络科技有限公司,江苏省,镇江市,丹阳市
212,河北懋谷网络科技有限公司,河北省,邯郸市,复兴区
213,上海创知信网络科技有限公司,上海市,上海市,闵行区
214,江苏古河文化科技有限公司,江苏省,南京市,建邺区
215,山西灿森网络科技有限公司,山西省,晋城市,城区
216,山西弘承云志科技有限公司,山西省,大同市,云冈区
217,大连宏腾科技有限公司,辽宁省,大连市,甘井子区
218,河北洲德信息技术有限公司,四川省,广元市,利州区
219,乌鲁木齐佑安信达企业管理咨询有限公司,新疆维吾尔自治区,乌鲁木齐市,新市区
220,长沙金泥自动化科技有限公司,湖南省,长沙市,长沙县
221,内蒙古安洛凯工程技术咨询有限公司,内蒙古自治区,包头市,昆都仑区
222,邢台市龙泽信息系统集成服务有限公司,河北省,邢台市,
223,成都安第斯信息技术有限公司,四川省,成都市,金牛区
224,北京维联众诚科技有限公司,河北省,邯郸市,丛台区
225,森成稀土磁材有限公司,内蒙古自治区,包头市,九原区
226,福州市博思特教育咨询有限公司,福建省,福州市,晋安区
227,中地设计集团有限公司朝阳分公司,辽宁省,朝阳市,双塔区
228,上海荷瑞会展有限公司,上海市,上海市,闵行区
229,江苏庙湾人家网络科技有限公司,江苏省,盐城市,阜宁县
230,成都时代众享科技有限公司,四川省,成都市,
231,北京瑞尔博达市场营销顾问有限公司,山西省,运城市,盐湖区
232,河南省盈鑫环保科技有限公司,河南省,焦作市,孟州市
233,无锡江东信息技术有限公司,江苏省,无锡市,梁溪区
234,河北金安鸿环检测技术咨询有限公司,河北省,衡水市,桃城区
235,肇庆云虫科技有限公司,广东省,肇庆市,端州区
236,湖北华胜建设项目管理有限公司,湖北省,襄阳市,樊城区
237,海城市东升钢构彩板有限公司,辽宁省,鞍山市,海城市
238,上海酷柒网络技术有限公司,云南省,曲靖市,麒麟区
239,北京强邦体育发展有限公司,北京市,北京市,海淀区
240,福州市从古网络科技有限公司,福建省,福州市,闽侯县
241,广西英斯派尔云计算有限公司,广西壮族自治区,南宁市,西乡塘区
242,哈尔滨华途科技有限公司,黑龙江省,哈尔滨市,香坊区
243,河北奇云科技有限公司,河北省,石家庄市,长安区
244,上海隽乐信息科技有限公司,上海市,上海市,虹口区
245,河北省道兰科技有限公司,河北省,石家庄市,长安区
246,成都时代众享科技有限公司,四川省,成都市,
247,咸阳中远电子有限公司,陕西省,咸阳市,秦都区
248,化州市缘康科技有限公司,广东省,茂名市,化州市
249,河南图萤网络科技有限公司,河南省,南阳市,宛城区
250,内蒙古中采信息技术服务有限公司,内蒙古自治区,呼和浩特市,赛罕区
251,雨林创新创意科技（深圳）集团有限公司,广东省,深圳市,龙华区
252,中铁水利信息科技有限公司,江西省,南昌市,高新技术产业开发区
253,长沙爱和自由文化传播有限公司,湖南省,长沙市,长沙县
254,江苏古河文化科技有限公司,江苏省,南京市,建邺区
255,沈阳华逸云智科技有限公司,辽宁省,沈阳市,苏家屯区
256,乌鲁木齐佑安信达企业管理咨询有限公司,新疆维吾尔自治区,乌鲁木齐市,新市区
257,柒柒网络科技（辽宁）有限公司鞍山分公司,辽宁省,鞍山市,铁东区
258,沈阳盈好机械有限公司,辽宁省,沈阳市,于洪区
259,广州万云电子商务有限公司,广东省,广州市,天河区
260,柳州菲通智能科技有限公司,广西壮族自治区,柳州市,柳北区
261,南宁玄鸟网络科技有限公司,广西壮族自治区,南宁市,西乡塘区
262,大连威姆瑞科技有限公司,辽宁省,大连市,
263,海南好思达网络科技有限公司,海南省,,琼海市
264,河北富创电子科技有限公司,河北省,衡水市,桃城区
265,河北省北斗导航位置服务有限公司,河北省,石家庄市,正定县
266,浙江思则数字科技有限公司,浙江省,宁波市,鄞州区
267,晋江市三平面体育发展有限公司,福建省,泉州市,晋江市
268,联宇合达科技有限公司,吉林省,长春市,南关区
269,安徽南黎建设工程有限公司,安徽省,淮北市,相山区
270,四川准达信息技术股份有限公司,陕西省,咸阳市,渭城区
271,贵州黔狐科技股份有限公司,贵州省,铜仁市,碧江区
272,陕西中源纵横造价咨询有限公司,陕西省,商洛市,商州区
273,南宁市雅径电子产品经营部,广西壮族自治区,南宁市,江南区
274,福州乐焰数据科技有限公司,福建省,福州市,闽侯县
275,广州八斗软件科技有限公司,广东省,广州市,越秀区
276,上海信栖网络科技有限公司,上海市,上海市,闵行区
277,广州豆苗信息科技有限公司,广东省,广州市,番禺区
278,长春弘毅通信科技有限公司,辽宁省,抚顺市,新抚区
279,安庆市宾利知识产权运营管理有限公司,安徽省,安庆市,宜秀区
280,绥中求索软件科技有限公司,辽宁省,葫芦岛市,绥中县
281,武汉赢月网络科技有限公司,湖北省,武汉市,洪山区
282,上海奇杲科技有限公司,河南省,郑州市,二七区
283,广西依客科技有限公司,广西壮族自治区,南宁市,兴宁区
284,南阳市微企胜网络科技有限公司,河南省,南阳市,卧龙区
285,宿州仕良信息科技有限公司,安徽省,宿州市,埇桥区
286,广州漫薪网络科技有限公司,广东省,广州市,天河区
287,西安拾久网络科技有限公司,陕西省,西安市,未央区
288,湖北襄软科技有限公司,湖北省,襄阳市,樊城区
289,北京智源视界科技有限公司,北京市,北京市,海淀区
290,遵义云讯网络科技有限责任公司,贵州省,遵义市,汇川区
291,张家口钰辉起航科技有限公司,浙江省,嘉兴市,南湖区
292,辽宁瑞丰自动控制有限公司,辽宁省,鞍山市,立山区
293,中软信通（宜昌）科技有限公司,湖北省,宜昌市,西陵区
294,中地设计集团有限公司朝阳分公司,辽宁省,朝阳市,双塔区
295,天佑博文信息科技（山东）有限公司,山东省,德州市,德城区
296,南京苏艾科软件技术有限公司,江苏省,南京市,江宁区
297,吉林省云领科技有限公司,吉林省,长春市,南关区
298,北京睿智皓天微电子科技有限公司,四川省,成都市,武侯区
299,肇庆云虫科技有限公司,广东省,肇庆市,端州区
300,龙岩市新罗区创和智联贸易有限公司,福建省,龙岩市,新罗区
301,广西国信云服科技有限公司,广西壮族自治区,南宁市,青秀区
302,广元匠艺软件开发有限公司,四川省,广元市,利州区
303,深圳千知鱼文化设计有限公司,广东省,深圳市,龙岗区
304,武汉世纪先锋网络技术有限公司,湖北省,武汉市,武昌区
305,运城市锐创电子科技有限公司,山西省,运城市,盐湖区
306,深圳市培林体育科技有限公司,广东省,揭阳市,揭西县
307,天津联筑建筑科技有限公司,重庆市,重庆市,南岸区
308,广东方昇科技有限公司,广东省,梅州市,梅江区
309,南昌象牙网络科技有限公司,江西省,南昌市,南昌县
310,潮州市鲁迪信息科技有限公司,广东省,潮州市,潮安区
311,浙江衢州鹿鸣信息技术有限公司,浙江省,衢州市,柯城区
312,北京强邦体育发展有限公司,北京市,北京市,海淀区
313,重庆领达信息技术有限公司,重庆市,重庆市,渝北区
314,浙江众启网络科技有限公司,浙江省,金华市,金东区
315,成都华企网通科技有限公司,四川省,成都市,龙泉驿区
316,深圳市思承电子有限公司,广东省,潮州市,潮安区
317,嘉兴想天信息科技有限公司,浙江省,嘉兴市,桐乡市
318,浙江星河微网能源科技有限公司,浙江省,杭州市,余杭区
319,四川瑞晨消防工程有限公司,四川省,泸州市,江阳区
320,湖北致慧信息技术有限公司,湖北省,宜昌市,西陵区
321,东营市传智信息技术有限公司,山东省,东营市,东营区
322,苏州尚榜网络科技有限公司,江苏省,南京市,江宁区
323,柳州市光迅科技有限责任公司,广西壮族自治区,柳州市,鱼峰区
324,山东铝谷数据科技有限公司,山东省,滨州市,邹平市
325,福州一城信息科技有限公司,福建省,福州市,仓山区
326,大理市云桥宽频信息科技有限责任公司,云南省,大理白族自治州,大理市
327,巴尔瑙尔科技,重庆市,重庆市,巴南区
328,秦皇岛市易讯科技开发有限公司,河北省,秦皇岛市,海港区
329,杭州陆港科技有限公司,浙江省,杭州市,临平区
330,吉林省集星科技有限公司,吉林省,长春市,朝阳区
331,长春市飞秋科技有限公司,吉林省,长春市,朝阳区
332,上海逐一软件科技有限公司,江西省,南昌市,南昌县
333,福州知止网络技术有限公司,福建省,南平市,延平区
334,娄底市国联信息服务有限公司,湖南省,娄底市,娄星区
335,舟山市唯芸社信息科技有限公司,浙江省,舟山市,普陀区
336,河南省盈鑫环保科技有限公司,河南省,焦作市,孟州市
337,微趣软件（无锡）有限公司,江苏省,无锡市,梁溪区
338,上海虎联信息科技有限公司,河南省,南阳市,宛城区
339,江西莫比乌斯科技有限公司,江西省,南昌市,南昌县
340,广州非格科技有限公司,广东省,广州市,黄埔区
341,广东康顺健康管理有限公司,广东省,中山市,
342,重庆夸米网络科技有限公司,河南省,开封市,鼓楼区
343,佛山市亿货郎电子商务有限公司,广东省,佛山市,南海区
344,纳思达科技（大连）有限公司,辽宁省,大连市,高新技术产业园区
345,海南金轩企业管理有限公司,海南省,,澄迈县
346,山西润源项目管理咨询有限公司,山西省,太原市,尖草坪区
347,哈尔滨华途科技有限公司,黑龙江省,哈尔滨市,香坊区
348,河北富创电子科技有限公司,河北省,衡水市,桃城区
349,大连威姆瑞科技有限公司,辽宁省,大连市,
350,深圳三极丰科技有限公司,广东省,深圳市,龙岗区
351,江西优尚科技有限公司,江西省,南昌市,南昌县
352,浙江云会科技有限公司,浙江省,宁波市,海曙区
353,青岛康裕达科技有限公司,山东省,青岛市,市北区
354,通化北创控股（集团）有限公司,吉林省,通化市,通化县
355,南昌乐酷科技有限公司,江西省,南昌市,南昌县
356,沈阳天悦网络科技有限公司,辽宁省,沈阳市,沈河区
357,珠海市朝为软件科技有限公司,广东省,珠海市,香洲区
358,淘鱼科技,浙江省,杭州市,滨江区
359,深圳市小蜜蜂软件有限公司,广东省,深圳市,龙岗区
360,西安平衡语言科技有限公司,陕西省,西安市,未央区
361,上海创知信网络科技有限公司,上海市,上海市,闵行区
362,绍兴小坡孩信息技术有限公司,浙江省,绍兴市,越城区
363,河北奇云科技有限公司,河北省,石家庄市,长安区
364,哈尔滨亚典科技有限责任公司,黑龙江省,哈尔滨市,松北区
365,泉州丰泽长庚医院有限公司,福建省,泉州市,丰泽区
366,上海阳橙信息科技有限公司,上海市,上海市,宝山区
367,内蒙古友臻信息技术有限公司,内蒙古自治区,呼和浩特市,赛罕区
368,中伦建筑工程设计有限公司川北设计院,四川省,南充市,顺庆区
369,成都安第斯信息技术有限公司,四川省,成都市,金牛区
370,四川省图南鸟网络科技有限公司,四川省,绵阳市,游仙区
371,东莞豪马工业设计有限公司,广东省,东莞市,
372,南京聚众体育科技发展有限公司,江苏省,南京市,栖霞区
373,邢台市龙泽信息系统集成服务有限公司,河北省,邢台市,
374,江门市铂睿科技有限公司,广东省,江门市,蓬江区
375,大连亿坊电子商务有限公司,辽宁省,大连市,金州区
376,浙江思则数字科技有限公司,浙江省,宁波市,鄞州区
377,北京尔希科技有限公司,河南省,焦作市,山阳区
378,易视线（厦门）科技有限公司,福建省,厦门市,思明区
379,厦门闽亿金服科技有限公司,云南省,昆明市,嵩明县
380,湖南超视物联智能网络科技有限公司,湖南省,长沙市,长沙县
381,长沙金泥自动化科技有限公司,湖南省,长沙市,长沙县
382,吉林省十全十美文化发展有限公司,吉林省,长春市,二道区
383,北京瑞尔博达市场营销顾问有限公司,山西省,运城市,盐湖区
384,柒柒网络科技（辽宁）有限公司鞍山分公司,辽宁省,鞍山市,铁东区
385,石家庄沃龙软件服务有限公司,河北省,石家庄市,栾城区
386,嘉兴市谷泰信息技术有限公司,浙江省,嘉兴市,南湖区
387,重庆特优学科技有限公司,四川省,成都市,武侯区
388,南昌优毅云科技有限公司,江西省,南昌市,南昌县
389,广州市一千零一科技有限公司,广东省,广州市,南沙区
390,邢台易优网络科技有限公司,河北省,邢台市,平乡县
391,江苏炫动科技有限公司,江苏省,盐城市,盐都区
392,云南软友科技有限公司,云南省,曲靖市,麒麟区
393,马鞍山安益网络科技有限公司,安徽省,马鞍山市,花山区
394,河南塘报文化传播有限公司,河南省,郑州市,新郑市
395,成都致远方达科技有限公司,四川省,成都市,锦江区
396,中山市电牛科技有限公司,广东省,中山市,
397,辽宁茅汇联和,辽宁省,沈阳市,沈北新区
398,重庆万佳电子信息有限责任公司,重庆市,重庆市,渝中区
399,上海思鎏网络科技有限公司,四川省,成都市,锦江区
400,丹东盘古网络技术有限公司,辽宁省,丹东市,振兴区
401,北京洋流科技有限公司,北京市,北京市,朝阳区
402,深圳市泰通新智信息技术有限公司,广东省,深圳市,宝安区
403,福州网冠信息科技有限公司,福建省,福州市,仓山区
404,深圳市速易连科技有限公司,广东省,深圳市,龙华区
405,山西弘承云志科技有限公司,山西省,大同市,云冈区
406,河南图萤网络科技有限公司,河南省,南阳市,宛城区
407,思渡技术服务（昆明）有限公司,云南省,昆明市,五华区
408,海南蓝点计算机网络工程有限公司,海南省,海口市,龙华区
409,大连摩呵科技有限公司,辽宁省,大连市,甘井子区
410,保定云舟网络科技有限公司,河北省,保定市,莲池区
411,山东方正自动化科技有限公司,山东省,东营市,东营区
412,漳州堡垒信息技术有限公司,福建省,漳州市,漳浦县
413,大连智趣信息技术有限公司,辽宁省,大连市,中山区
414,河北省道兰科技有限公司,河北省,石家庄市,长安区
415,贵州老师傅到家科技有限公司,贵州省,贵阳市,观山湖区
416,福州市博思特教育咨询有限公司,福建省,福州市,晋安区
417,深圳市听音科技有限公司,广东省,深圳市,龙岗区
418,河北懋谷网络科技有限公司,河北省,邯郸市,复兴区
419,内蒙古巴辰网络科技有限公司,内蒙古自治区,包头市,九原区
420,重庆玲鲲科技有限公司,重庆市,重庆市,沙坪坝区
421,江苏古河文化科技有限公司,江苏省,南京市,建邺区
422,河北金安鸿环检测技术咨询有限公司,河北省,衡水市,桃城区
423,哈尔滨顺茂科技开发有限公司,黑龙江省,哈尔滨市,南岗区
424,上海隽乐信息科技有限公司,上海市,上海市,虹口区
425,河北洲德信息技术有限公司,四川省,广元市,利州区
426,江西摩速科技有限公司,江西省,南昌市,南昌县
427,柳州箩筐信息科技有限公司,广西壮族自治区,柳州市,城中区
428,武汉同趣科技有限公司,湖北省,武汉市,洪山区
429,哈尔滨浪博科技有限公司,黑龙江省,哈尔滨市,道外区
430,福州市从古网络科技有限公司,福建省,福州市,闽侯县
431,西安语博仕教育科技有限责任公司,陕西省,西安市,碑林区
432,大连网龙网络科技有限公司,辽宁省,大连市,金州区
433,阜阳市工蚁网络科技有限公司,安徽省,阜阳市,颍泉区
434,遵化市金标科技有限公司,河北省,唐山市,遵化市
435,赤峰智展信息技术有限公司,内蒙古自治区,赤峰市,红山区
